2019-02-07,2074.750000,2097.949951,2067.000000,2082.899902,2056.328125,1339945
2019-02-08,2075.000000,2089.500000,2051.000000,2061.399902,2035.102539,1684474
2019-02-11,2060.000000,2096.000000,2048.899902,2065.899902,2039.545166,1778730
2019-02-12,2070.000000,2070.000000,2018.000000,2051.600098,2025.427734,2422903
2019-02-14,2060.050049,2075.000000,2033.050049,2044.599976,2018.516846,1724085
2019-02-15,2049.000000,2052.000000,2010.949951,2029.699951,2003.806885,1930065
2019-02-18,2037.599976,2041.949951,1962.650024,1970.300049,1945.164673,2942184
2019-02-19,1970.000000,1971.000000,1892.000000,1904.800049,1880.500366,4408554
2019-02-20,1915.000000,1933.800049,1881.300049,1914.750000,1890.323364,4645778
2019-02-21,1914.750000,1940.000000,1897.050049,1914.199951,1889.780273,4683919
2019-02-22,1917.199951,1930.000000,1905.099976,1925.650024,1901.084473,2271955
2019-02-25,1932.500000,1990.000000,1930.500000,1985.150024,1959.825439,2934880
2019-02-26,1984.000000,2045.150024,1972.250000,2038.699951,2012.692139,6453309
2019-02-27,2040.000000,2074.949951,2022.000000,2058.100098,2031.844727,4732082
2019-02-28,2060.000000,2071.350098,1977.599976,1983.449951,1958.146973,8454295
2019-03-01,1995.050049,2005.000000,1980.349976,1995.400024,1969.944580,4148548
2019-03-05,2005.000000,2007.000000,1976.599976,1988.099976,1962.737549,2449622
2019-03-06,1989.300049,2015.000000,1985.050049,1999.599976,1974.090942,2635047
2019-03-07,2005.000000,2024.050049,2000.199951,2013.300049,1987.616089,2539884
2019-03-08,2025.000000,2033.000000,2010.050049,2022.699951,1996.896240,2031071
2019-03-11,2028.900024,2033.000000,2003.650024,2014.800049,1989.097046,3111689
2019-03-12,2014.050049,2024.800049,2003.000000,2012.449951,1986.776978,2658550
2019-03-13,2013.000000,2015.900024,1978.599976,2000.500000,1974.979492,1833163
2019-03-14,2004.949951,2007.800049,1981.000000,1987.400024,1962.046631,1905495
2019-03-15,1998.900024,2068.949951,1991.000000,2039.949951,2013.926147,5184318
2019-03-18,2043.000000,2064.600098,2011.000000,2022.800049,1996.994995,2349915
2019-03-19,2030.000000,2030.000000,1995.099976,2022.800049,1996.994995,2373993
2019-03-20,2028.000000,2044.800049,2000.000000,2015.050049,1989.343872,3091165
2019-03-22,2015.000000,2016.000000,1983.300049,2005.650024,1980.063721,3148149
2019-03-25,2007.800049,2007.800049,1977.199951,1984.250000,1958.936768,2429205
2019-03-26,1984.000000,1994.949951,1958.050049,1982.650024,1957.357056,2316539
2019-03-27,1994.000000,1998.000000,1961.000000,1967.900024,1942.795288,2266166
2019-03-28,1980.000000,2014.599976,1972.800049,2000.300049,1974.782104,4054489
2019-04-01,2010.000000,2039.949951,2008.250000,2031.650024,2005.732056,2095740
2019-04-02,2037.099976,2086.000000,2037.000000,2079.300049,2052.774170,3719663
2019-04-03,2085.000000,2089.600098,2058.100098,2079.300049,2052.774170,2939886
2019-04-04,2078.149902,2079.699951,2007.400024,2014.500000,1988.800781,4397518
2019-04-05,2028.650024,2054.399902,2018.800049,2048.300049,2022.169678,3152103
2019-04-08,2059.000000,2075.000000,2032.699951,2070.750000,2044.333252,2194294
2019-04-09,2070.000000,2098.000000,2057.649902,2091.500000,2064.818359,2690970
2019-04-10,2083.000000,2085.500000,2036.000000,2040.250000,2014.222290,3313062
2019-04-11,2045.000000,2055.000000,2013.650024,2019.500000,1993.737061,3422442
2019-04-12,2038.000000,2039.000000,2007.000000,2014.500000,1988.800781,3198471
2019-04-15,2070.000000,2119.800049,2041.000000,2113.300049,2086.340576,9189201
2019-04-16,2120.000000,2155.949951,2115.550049,2131.800049,2104.604492,5771952
2019-04-18,2149.899902,2155.000000,2114.199951,2150.050049,2122.621582,3413728
2019-04-22,2148.000000,2176.000000,2145.600098,2161.449951,2133.876221,2007135
